#NCBI_GeneID	Ensembl_Gene	HGNC_ID	symbol	name	RefSeq_nuc	RefSeq_prot	Ensembl_nuc	Ensembl_prot	MANE_status	GRCh38_chr	chr_start	chr_end	chr_strand
GeneID:1	ENSG00000121410.12	HGNC:5	A1BG	alpha-1-B glycoprotein	NM_130786.4	NP_570602.2	ENST00000263100.8	ENSP00000263100.2	MANE Select	19	58345183	58353492	-
GeneID:2	ENSG00000175899.15	HGNC:7	A2M	alpha-2-macroglobulin	NM_000014.6	NP_000005.3	ENST00000318602.12	ENSP00000323929.8	MANE Select	12	9067708	9115919	-
GeneID:9	ENSG00000171428.15	HGNC:7645	NAT1	N-acetyltransferase 1	NM_000662.8	NP_000653.3	ENST00000307719.9	ENSP00000307218.4	MANE Select	8	18210109	18223689	+
GeneID:10	ENSG00000156006.5	HGNC:7646	NAT2	N-acetyltransferase 2	NM_000015.3	NP_000006.2	ENST00000286479.4	ENSP00000286479.3	MANE Select	8	18391282	18401218	+
GeneID:12	ENSG00000196136.18	HGNC:16	SERPINA3	serpin family A member 3	NM_001085.5	NP_001076.2	ENST00000393078.5	ENSP00000376793.3	MANE Select	14	94612391	94624053	+
GeneID:13	ENSG00000114771.14	HGNC:17	AADAC	arylacetamide deacetylase	NM_001086.3	NP_001077.2	ENST00000232892.12	ENSP00000232892.6	MANE Select	3	151814116	151828488	+
GeneID:14	ENSG00000127837.10	HGNC:18	AAMP	angio associated migratory cell protein	NM_001087.5	NP_001078.2	ENST00000248450.9	ENSP00000248450.4	MANE Select	2	218264129	218270137	-
GeneID:15	ENSG00000129673.10	HGNC:19	AANAT	aralkylamine N-acetyltransferase	NM_001088.3	NP_001079.1	ENST00000392492.8	ENSP00000376282.2	MANE Select	17	76467603	76470117	+
GeneID:16	ENSG00000090861.17	HGNC:20	AARS1	alanyl-tRNA synthetase 1	NM_001605.3	NP_001596.2	ENST00000261772.13	ENSP00000261772.8	MANE Select	16	70252298	70289506	-
GeneID:18	ENSG00000183044.12	HGNC:23	ABAT	4-aminobutyrate aminotransferase	NM_020686.6	NP_065737.2	ENST00000268251.13	ENSP00000268251.8	MANE Select	16	8674617	8784570	+
GeneID:19	ENSG00000165029.17	HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	NM_005502.4	NP_005493.2	ENST00000374736.8	ENSP00000363868.3	MANE Select	9	104781006	104928155	-
GeneID:20	ENSG00000107331.18	HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	NM_001606.5	NP_001597.2	ENST00000341511.11	ENSP00000344155.6	MANE Select	9	137007234	137028237	-
GeneID:21	ENSG00000167972.14	HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	NM_001089.3	NP_001080.2	ENST00000301732.10	ENSP00000301732.5	MANE Select	16	2275881	2340728	-
GeneID:22	ENSG00000131269.19	HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	NM_001271696.3	NP_001258625.1	ENST00000373394.8	ENSP00000362492.3	MANE Select	X	75051048	75156283	-
GeneID:23	ENSG00000204574.14	HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	NM_001025091.2	NP_001020262.1	ENST00000326195.13	ENSP00000313603.8	MANE Select	6	30571442	30591522	+
GeneID:24	ENSG00000198691.14	HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	NM_000350.3	NP_000341.2	ENST00000370225.4	ENSP00000359245.3	MANE Select	1	93992834	94121148	-
GeneID:25	ENSG00000097007.19	HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	NM_005157.6	NP_005148.2	ENST00000318560.6	ENSP00000323315.5	MANE Select	9	130835254	130887675	+
