,Gene/Region,GRCh37,"HI Score","TS Score",OMIM,Morbid,%HI,pLI,LOEUF,"Last Eval."
R,"16p13.12 population region (gnomAD-SV_v2.1_DEL_16_152599)",16:14782199-14805000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/09/2021
R,"1 copy: 14q telomere; 3 copies: 14q telomere",14:106050000-107289540,"40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,07/31/2014
R,"1 copy: 2q telomere|3 copies: 2q telomere",2:242930600-243102476,"40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,04/24/2014
R,"1 copy: 6p telomere | 3 copies: 6p telomere",6:259528-339802,"40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,06/20/2014
R,"10p12.1 population region (DGV_Gold_Standard_June_2021_gssvL11273)",10:27638256-27642180,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"10p12.33 population region (gnomAD-SV_v2.1_DEL_10_108282)",10:17867999-17880000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10p12.33 population region (gnomAD-SV_v2.1_DEL_10_108283)",10:17879999-17893800,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10p12.33 population region (gnomAD-SV_v2.1_DEL_10_108288)",10:18117799-18130100,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10p12.33 population region (gnomAD-SV_v2.1_DEL_10_108289)",10:18126899-18135000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10p13 population region (DGV_Gold_Standard_June_2021_gssvL10668)",10:13259247-13260742,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"10q11.22 population region (DGV_Gold_Standard_June_2021_gssvG4512)",10:47531763-47597768,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/05/2021
R,"10q11.22 population region (DGV_Gold_Standard_June_2021_gssvL12105)",10:48664595-48872432,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"10q11.22 population region (DGV_Gold_Standard_June_2021_gssvL12112)",10:48902069-48986229,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_109954)",10:46310649-46325800,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_109958)",10:46338599-46375000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_109998)",10:47171999-47177000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_109999)",10:47177699-47182800,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110000)",10:47191199-47201400,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110001)",10:47211299-47216400,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110016)",10:47748899-47754600,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110019)",10:47896499-47919300,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110021)",10:47927849-47935000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110022)",10:47932799-47938200,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110031)",10:48020299-48039225,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110040)",10:48197999-48248000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110043)",10:48239999-48247800,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110044)",10:48251999-48258000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110072)",10:48806124-48812000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (DGV_Gold_Standard_June_2021_gssvL12109)",10:51861706-52000736,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110193)",10:51219499-51231000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110221)",10:51839699-51845100,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110222)",10:51845699-51850800,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110223)",10:51851849-51857400,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110224)",10:51858299-51864600,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110225)",10:51861999-51894650,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110229)",10:51967199-51974400,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110230)",10:51973199-51981300,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/10/2021
