HGNC ID	Approved symbol	Chromosome	Chromosome location	Ensembl gene ID	NCBI gene ID	UCSC gene ID	UniProt accession	OMIM ID	Orphanet ID
HGNC:5	A1BG	19	19q13.43	ENSG00000121410	1	uc002qsd.5	P04217	138670	
HGNC:24086	A1CF	10	10q11.23	ENSG00000148584	29974	uc057tgv.1	Q9NQ94	618199	
HGNC:7	A2M	12	12p13.31	ENSG00000175899	2	uc001qvk.2	P01023	103950	
HGNC:23336	A2ML1	12	12p13.31	ENSG00000166535	144568	uc001quz.6	A8K2U0	610627	410627
HGNC:30005	A3GALT2	1	1p35.1	ENSG00000184389	127550	uc031plq.1	U3KPV4		
HGNC:18149	A4GALT	22	22q13.2	ENSG00000128274	53947	uc062ewl.1	Q9NPC4	607922	
HGNC:17968	A4GNT	3	3q22.3	ENSG00000118017	51146	uc003ers.2	Q9UNA3	616709	
HGNC:13666	AAAS	12	12q13.13	ENSG00000094914	8086	uc001scr.5	Q9NRG9	605378	117613
HGNC:21298	AACS	12	12q24.31	ENSG00000081760	65985	uc001uhc.4	Q86V21	614364	
HGNC:17	AADAC	3	3q25.1	ENSG00000114771	13	uc003eze.4	P22760	600338	
HGNC:24427	AADACL2	3	3q25.1	ENSG00000197953	344752	uc003ezc.4	Q6P093		
HGNC:32037	AADACL3	1	1p36.21	ENSG00000188984	126767	uc057ckc.1	Q5VUY0		
HGNC:32038	AADACL4	1	1p36.21	ENSG00000204518	343066	uc001auf.3	Q5VUY2		
HGNC:17929	AADAT	4	4q33	ENSG00000109576	51166	uc032udw.1	Q8N5Z0	611754	
HGNC:25662	AAGAB	15	15q23	ENSG00000103591	79719	uc002aqk.6	Q6PD74	614888	317366
HGNC:19679	AAK1	2	2p13.3	ENSG00000115977	22848	uc002sfp.3	Q2M2I8	616405	
HGNC:30205	AAMDC	11	11q14.1	ENSG00000087884	28971	uc058fuq.1	Q9H7C9		
HGNC:18	AAMP	2	2q35	ENSG00000127837	14	uc002vhk.4	Q13685	603488	
HGNC:19	AANAT	17	17q25.1	ENSG00000129673	15	uc002jro.4	Q16613	600950	469884
HGNC:15886	AAR2	20	20q11.23	ENSG00000131043	25980	uc002xfc.4	Q9Y312	617365	
HGNC:33842	AARD	8	8q24.11	ENSG00000205002	441376	uc003yof.4	Q4LEZ3		
HGNC:20	AARS1	16	16q22.1	ENSG00000090861	16	uc002eyn.2	P49588	601065	232194
HGNC:21022	AARS2	6	6p21.1	ENSG00000124608	57505	uc010jza.2	Q5JTZ9	612035	269639
HGNC:28417	AARSD1	17	17q21.31	ENSG00000266967	80755	uc031raq.2	Q9BTE6	613212	
HGNC:23993	AASDH	4	4q12	ENSG00000157426	132949	uc003hbn.5	Q4L235	614365	
HGNC:14235	AASDHPPT	11	11q22.3	ENSG00000149313	60496	uc001pjc.2	Q9NRN7	607756	
HGNC:17366	AASS	7	7q31.32	ENSG00000008311	10157	uc003vkb.4	Q9UDR5	605113	123389
HGNC:19235	AATF	17	17q12	ENSG00000275700	26574	uc002hni.3	Q9NY61	608463	
HGNC:21	AATK	17	17q25.3	ENSG00000181409	9625	uc010dia.4	Q6ZMQ8	605276	
HGNC:23	ABAT	16	16p13.2	ENSG00000183044	18	uc002czc.5	P80404	137150	117617
HGNC:29	ABCA1	9	9q31.1	ENSG00000165029	19	uc004bcl.4	O95477	600046	159528
HGNC:32	ABCA2	9	9q34.3	ENSG00000107331	20	uc064xhf.1	Q9BZC7	600047	
HGNC:33	ABCA3	16	16p13.3	ENSG00000167972	21	uc002cpy.2	Q99758	601615	140560
HGNC:34	ABCA4	1	1p22.1	ENSG00000198691	24	uc001dqh.4	P78363	601691	117623
HGNC:35	ABCA5	17	17q24.3	ENSG00000154265	23461	uc002jig.3	Q8WWZ7	612503	404800
HGNC:36	ABCA6	17	17q24.2-q24.3	ENSG00000154262	23460	uc002jhw.2	Q8N139	612504	
HGNC:37	ABCA7	19	19p13.3	ENSG00000064687	10347	uc002lqw.5	Q8IZY2	605414	
HGNC:38	ABCA8	17	17q24.2	ENSG00000141338	10351	uc002jhq.5	O94911	612505	
HGNC:39	ABCA9	17	17q24.2	ENSG00000154258	10350	uc002jhu.4	Q8IUA7	612507	
HGNC:30	ABCA10	17	17q24.3	ENSG00000154263	10349	uc010dfa.2	Q8WWZ4	612508	469886
HGNC:14637	ABCA12	2	2q35	ENSG00000144452	26154	uc002vew.3	Q86UK0	607800	117620
HGNC:14638	ABCA13	7	7p12.3	ENSG00000179869	154664	uc003toq.2	Q86UQ4	607807	
HGNC:40	ABCB1	7	7q21.12	ENSG00000085563	5243	uc003uiz.3	P08183	171050	318801
HGNC:45	ABCB4	7	7q21.12	ENSG00000005471	5244	uc003uix.1	P21439	171060	117639
HGNC:46	ABCB5	7	7p21.1	ENSG00000004846	340273	uc010kuh.4	Q2M3G0	611785	
HGNC:47	ABCB6	2	2q35	ENSG00000115657	10058	uc002vkc.3	Q9NP58	605452	291794
HGNC:48	ABCB7	X	Xq13.3	ENSG00000131269	22	uc004ebz.5	O75027	300135	117646
HGNC:49	ABCB8	7	7q36.1	ENSG00000197150	11194	uc003wik.6	Q9NUT2	605464	469888
HGNC:50	ABCB9	12	12q24.31	ENSG00000150967	23457	uc058upb.1	Q9NP78	605453	
HGNC:41	ABCB10	1	1q42.13	ENSG00000135776	23456	uc001htp.4	Q9NRK6	605454	
HGNC:42	ABCB11	2	2q31.1	ENSG00000073734	8647	uc002ueo.2	O95342	603201	117631
HGNC:51	ABCC1	16	16p13.11	ENSG00000103222	4363	uc010bvi.4	P33527	158343	469890
HGNC:53	ABCC2	10	10q24.2	ENSG00000023839	1244	uc001kqf.3	Q92887	601107	117652
HGNC:54	ABCC3	17	17q21.33	ENSG00000108846	8714	uc002isl.4	O15438	604323	469892
HGNC:55	ABCC4	13	13q32.1	ENSG00000125257	10257	uc001vmd.5	O15439	605250	469894
HGNC:56	ABCC5	3	3q27.1	ENSG00000114770	10057	uc003fmg.4	O15440	605251	
